"admin_area_1","admin_area_2","year","danc1_pregnancy","danc1_livebirth","u5mr_used","dchildren_12to59","dchildren_6to23","dchildren_6to59","dchildren_0to59"
"ng Federal Government","os Osun State",2022,65072.1337122545,62325.0078658631,0.105,223123.52815979,83671.3230599213,251013.969179764,278904.410199738
"ng Federal Government","os Osun State",2023,62538.9304263753,59898.747872355,0.105,214437.517383031,80414.0690186366,241242.20705591,268046.896728789
"ng Federal Government","os Osun State",2024,55352.2823487327,53015.4958193504,0.105,189795.475033275,71173.303137478,213519.909412434,237244.343791593
"ng Federal Government","oy Oyo State",2020,145934.262024663,139773.410056066,0.105,500388.808000715,187645.803000268,562937.409000804,625486.010000893
"ng Federal Government","oy Oyo State",2021,151996.262003395,145579.492856854,0.105,521174.584427537,195440.469160326,586321.407480979,651468.230534421
"ng Federal Government","oy Oyo State",2022,157952.425712387,151284.20743798,0.105,541597.462627968,203099.048485488,609297.145456464,676996.82828496
"ng Federal Government","oy Oyo State",2023,193821.932779767,185639.424987856,0.105,664589.141456523,249220.928046196,747662.784138589,830736.426820654
"ng Federal Government","oy Oyo State",2024,193347.679487564,185185.193068895,0.105,662962.991186645,248611.121694992,745833.365084975,828703.738983306
"ng Federal Government","pl Plateau State",2020,115414.61852673,110542.202893209,0.105,395741.086357687,148402.907384133,445208.722152398,494676.357947109
"ng Federal Government","pl Plateau State",2021,142413.280517622,136401.07250383,0.105,488315.839563712,183118.439836392,549355.319509176,610394.79945464
"ng Federal Government","pl Plateau State",2022,147272.186277799,141054.85166315,0.105,504976.368954076,189366.138357779,568098.415073336,631220.461192595
"ng Federal Government","pl Plateau State",2023,148305.737083352,142044.769442251,0.105,508520.274603258,190695.102976222,572085.308928665,635650.343254073
"ng Federal Government","pl Plateau State",2024,175765.596713343,168345.366484337,0.105,602676.412013925,226003.654505222,678010.963515666,753345.515017407
"ng Federal Government","ri Rivers State",2020,57245.9292741916,54829.1993632711,0.105,196288.53372051,73608.2001451914,220824.600435574,245360.667150638
"ng Federal Government","ri Rivers State",2021,62061.3457275305,59441.3251874968,0.105,212799.944171238,79799.9790642144,239399.937192643,265999.930214048
"ng Federal Government","ri Rivers State",2022,69319.1993242674,66392.7767029205,0.105,237686.140596455,89132.3027236708,267396.908171012,297107.675745569
"ng Federal Government","ri Rivers State",2023,60977.0412060378,58402.7963430323,0.105,209082.010908056,78405.7540905208,235217.262271562,261352.513635069
